96,○,地下鉄西神・山手線　妙法寺駅,公共,須磨区,既存改修,34.675007,135.110232
97,○,地下鉄西神・山手線　名谷駅,公共,須磨区,既存改修,34.679325,135.094279
98,○,地下鉄西神・山手線 総合運動公園駅,公共,須磨区,既存改修,34.681651,135.07575
99,○,地下鉄西神・山手線　学園都市駅,公共,西区,既存改修,34.681506,135.05737
100,○,地下鉄西神・山手線　伊川谷駅,公共,西区,既存改修,34.687853,135.04134
101,○,地下鉄西神・山手線　西神南駅,公共,西区,既存改修,34.6994,135.030165
102,○,地下鉄西神・山手線　西神中央駅,公共,西区,既存改修,34.719825,135.017314
103,○,地下鉄海岸線 三宮・花時計前駅,公共,中央区,既存改修,34.690915,135.193478
104,○,地下鉄海岸線　旧居留地・大丸前駅,公共,中央区,既存改修,34.689639,135.190652
105,○,地下鉄海岸線　みなと元町駅,公共,中央区,既存改修,34.685789,135.183794
106,○,地下鉄海岸線　ハーバーランド駅,公共,中央区,既存改修,34.678429,135.178635
107,○,地下鉄海岸線　中央市場前駅,公共,兵庫区,既存改修,34.666029,135.175879
108,○,地下鉄海岸線　和田岬駅,公共,兵庫区,既存改修,34.657714,135.175904
109,○,地下鉄海岸線 御崎公園駅,公共,兵庫区,既存改修,34.654722,135.165411
