124,中央区,神戸布引ハーブ園／ロープウェイ,こうべぬのびきはーぶえん／ろーぷうぇい,651-0058,神戸市中央区葺合町字山郡,34.717116,135.191172,メモリーズ・コーナー,アダ（デボラ・フランソワさん）と、石田（阿部寛さん）が語り合うシーン
126,中央区,レアル プリンセサ・リカルディーナ 磯上邸,れあるぷりんせさ・りかるでぃーないそがみてい,651-0086,神戸市中央区磯上通4-3-14,34.693043,135.199572,阪急電車,康江（南果歩さん）らが訪れた、マダム御用達カフェ
127,中央区,神戸国際交流会館,こうべこくさいこうりゅうかいかん,650-0046,神戸市中央区港島中町6-9-1,34.666323,135.21271,DOG×POLICE「純白の絆」,講演会開催直前に爆破予告が。刑事（市原隼人さん）らが館内を捜索
129,兵庫区,加藤陸送ビル,かとうりくうんびる,652-0833,神戸市兵庫区島上町1-5,34.669333,135.17739,新宿インシデント,殺し屋集団がビルから出陣するシーンを撮影
130,中央区,三宮センター街,さんのみやせんたーがい,650-0021,神戸市中央区三宮町1-6,34.691808,135.193562,新宿インシデント,暴力団の抗争シーンがセンタープラザの前で。
131,中央区,阪急西口本通2・3丁目,はんきゅうにしぐちほんどおり2・3ちょうめ,650-0012,神戸市中央区北長狭通3-31,34.690879,135.189208,新宿インシデント,鉄頭（ジャッキー・チェンさん）が追手から逃げるシーンを撮影
132,中央区,元町高架下商店街,もとまちこうかしたしょうてんがい,650-0014,神戸市中央区元町高架通,34.688936,135.185502,Sweet Rain 死神の精度,一恵（小西真奈美さん）がストーカー？から逃げるシーンを撮影
133,兵庫区,新開地劇場,しんかいちげきじょう,652-0811,神戸市兵庫区新開地5-2-3,34.676534,135.174856,走れ！イチロー,真理子（大谷みつほさん）に会いにリュウ（松田龍平さん）がやって来るシーンを撮影
134,中央区,しおさい公園,しおさいこうえん,650-0045,神戸市中央区港島1,34.667734,135.201981,ウルトラマンメビウス＆ウルトラ兄弟,ウルトラ兄弟（黒部進さんら）４人が集結。岸壁を並んで歩くシーンを撮影
136,中央区,コンチェルト,こんちぇると,650-0044,神戸市中央区東川崎町1-6-1,34.680255,135.184957,ウルトラマンメビウス＆ウルトラ兄弟,ウルトラ兄弟がミライ（五十嵐隼士さん）を励ますシーンを撮影
137,中央区,レストランヴィラブランシュ,れすとらん?ぃらぶらんしゅ,650-0001,神戸市中央区加納町6-4-1,34.687088,135.196885,Sweet Rain 死神の精度,千葉（金城武さん）と一恵（小西真奈美さん）がレストランで食事をするシーンを撮影
138,中央区,カミネトアロード店,かみねとあろーどてん,650-0021,神戸市中央区三宮町3-1-22,34.689466,135.190845,僕の彼女はサイボーグ,作品冒頭でジロー（小出恵介さん）が時計を眺めるシーンを撮影
139,中央区,クレフィ三宮,くれふぃさんのみや,650-0021,神戸市中央区三宮町1-4-3,34.691027,135.193071,僕の彼女はサイボーグ,彼女（綾瀬はるかさん）がケーキを物色するシーンを撮影
140,中央区,ポートアイランド中央緑地,ぽーとあいらんどちゅうおうりょくち,650-0047,神戸市中央区港島南町1,34.661431,135.216712,ウルトラマンメビウス＆ウルトラ兄弟,瓦礫からミライ（五十嵐隼士さん）が抜け出すシーンを撮影
141,北区,湯本坂,ゆもとざか,651-1401,神戸市北区有馬町,34.796651,135.248397,クリアネス,さくら（杉野希妃さん）とレオ（細田よしひこさん）が有馬温泉に旅行に来て、散策するシーンを撮影
142,北区,陶泉御所坊,とうせんごしょぼう,651-1401,神戸市北区有馬町858,34.79672,135.247308,クリアネス,さくら（杉野希妃さん）とレオ（細田よしひこさん）が温泉旅館に泊まるシーンを撮影
143,長田区,神戸市立地域人材支援センター,こうべしりつちいきじんざいしえんせんたー,653-0042,神戸市長田区二葉町7-1-18,34.651901,135.146076,ふたたび　SWING ME AGAIN,貴島（財津一郎さん）が、息子夫婦（陣内孝則さん、古手川祐子さん）と和解する楽屋でのシーンを撮影
144,長田区,二葉34商店街,ふたば34しょうてんがい,653-0042,神戸市長田区二葉町3-6-5,34.653726,135.149547,クローズZERO,源治（小栗旬さん）らG・P・Sが雨の中最後の決戦に向かうシーン
145,長田区,西神戸センター街,にしこうべせんたーがい,653-0042,神戸市長田区二葉町4-7,34.65367,135.148262,クローズZERO,拳（やべきょうすけさん）が源治（小栗旬さん）らを引き連れてナンパしているシーンを撮影
146,長田区,六間道商店街,ろっけんみちしょうてんがい,653-0035,神戸市長田区庄田町2-5,34.652035,135.148171,クローズZERO,合コンに失敗した源治（小栗旬さん）、牧瀬（高橋努さん）らが語り合うシーン
147,長田区,丸五市場,まるごいちば,653-0042,神戸市長田区二葉町3,34.654237,135.149606,クローズZERO,ルカ（黒木メイサさん）の実家の八百屋に源治（小栗旬さん）がたずねるシーン。名物「丸五丼」はロケ弁にも登場！
148,中央区,兵庫県公館,ひょうごけんこうかん,650-8567,神戸市中央区下山手通4-4-1,34.690846,135.184426,僕の彼女はサイボーグ,未来のジロー（小出恵介さん）の家。さらに未来には博物館に…。
149,中央区,関帝廟,かんていびょう,650-0004,神戸市中央区中山手通7-3-2,34.689389,135.178077,僕の彼女はサイボーグ,彼女（綾瀬はるかさん）とジロー（小出恵介さん）が逃げ込む中華街
150,中央区,北野町広場,きたのまちひろば,650-0002,神戸市中央区北野町3-10,34.700995,135.189715,初雪の恋　ヴァージン・スノウ,七重（宮﨑あおいさん）と友人（森田彩香さん）が語り合うシーンを撮影
151,中央区,ミント神戸,みんとこうべ,651-0086,神戸市中央区雲井通7-1-1,34.694536,135.196096,新宿インシデント,ミント裏のスクランブル交差点の真ん中で暴力団組員が暗殺されるシーン
152,中央区,明石町筋,あかしまちすじ,650-0037,神戸市中央区明石町,34.688341,135.190855,僕の彼女はサイボーグ,稲妻とともに彼女（綾瀬はるかさん）が登場。カークラッシュも…。
153,中央区,浪花町筋,なにわまちすじ,650-0035,神戸市中央区浪花町,34.688626,135.192617,新宿インシデント,朝日ビル前で暴力団の抗争シーンが。
154,中央区,京町筋,きょうまちすじ,650-0034,神戸市中央区京町,34.687652,135.193393,Sweet Rain 死神の精度,チンピラを撃退した千葉（金城武さん）と一恵（小西真奈美さん）が手を繋いで走って逃げていくシーンを撮影
155,中央区,江戸町筋,えどまちすじ,650-0033,神戸市中央区江戸町,34.68934,135.194557,アウトレイジ,大友（ビートたけしさん）の組事務所。ロケ部屋無料公開中！
156,兵庫区,神戸市営地下鉄海岸線,こうべしえいちかてつかいがんせん,652-0875,神戸市兵庫区浜中町1,34.654701,135.165031,交渉人　真下正義,地下鉄シーンは神戸市営地下鉄海岸線・御崎公園駅　他で撮影
157,須磨区,神戸市立須磨海浜水族園,こうべしりつすまかいひんすいぞくえん,654-0049,神戸市須磨区若宮町1-3-5,34.643931,135.127813,ウルトラマンメビウス＆ウルトラ兄弟,ジングウジ・アヤ（いとうあいこさん）が海の研究をしている「海洋環境センター」としてたびたび登場
158,東灘区,神戸市立御影公会堂,こうべしりつみかげこうかいどう,658-0045,神戸市東灘区御影石町4-4-1,34.716016,135.249287,僕の彼女はサイボーグ,彼女（綾瀬はるかさん）とジロー（小出恵介さん）が逃げ込んだ京劇会場
159,灘区,神戸市立六甲山牧場,こうべしりつろっこうさんぼくじょう,657-0101,神戸市灘区六甲山町中一里山1-1,34.751584,135.209056,ウルトラマンメビウス＆ウルトラ兄弟,モロボシ・ダン（森次晃嗣さん）は牧場主として生活していた
160,中央区,高浜岸壁・モザイク,たかはまがんぺき・もざいく,650-0044,神戸市中央区東川崎町,34.68022,135.184225,新宿インシデント,鉄頭（ジャッキー・チェンさん）と北野（竹中直人さん）が会話するシーン
